iter,proj_loss,global_psnr_db
100,0.5222,12.71
200,3.2256,11.79
300,0.3155,11.23
400,0.1973,10.91
500,0.2618,10.71
600,0.2328,10.17
700,0.1365,10.08
800,0.1353,10.09
900,0.1208,10.15
1000,0.082,10.3
1100,0.0518,10.39
1200,0.0602,10.44
1300,0.0321,10.49
1400,0.0258,10.6
1500,0.0269,10.65
1600,0.015,10.66
1700,0.0122,10.52
1800,0.0145,10.58
1900,0.0121,10.4
2000,0.0082,10.35
