iter,proj_loss_train,proj_psnr_val,global_psnr,voxel_mean,voxel_std,voxel_p1,voxel_p50,voxel_p99,num_gaussians,density_mean,density_std,scale_mean,scale_std,densify_added,prune_removed,proj_minus_voxel_psnr,gaussian_delta
100,0.0052232732996344,36.580993973420014,13.269323102679175,0.2511681914329529,0.1508558839559555,0.0619365610182285,0.1926094591617584,0.6921631693840027,50000,0.0385619290173053,0.0271235965192317,0.0390944443643093,0.0087225371971726,0,0,23.31167087074084,0
200,0.004242280498147,38.9546946402204,13.167664757882974,0.2537477016448974,0.1554751694202423,0.0627734288573265,0.19047811627388,0.6928796172142029,50000,0.0391722992062568,0.0288660917431116,0.039043765515089,0.009105859324336,0,0,25.78702988233743,0
300,0.0032396351452916,40.24921724652701,13.12524684628574,0.2551047503948211,0.157538816332817,0.0639045313000679,0.1893961727619171,0.6924883723258972,50000,0.0399469621479511,0.0304011292755603,0.0390386469662189,0.0094975233078002,0,0,27.12397040024127,0
400,0.0028915575239807,41.24291073881223,13.100413282744569,0.2560590207576751,0.1589998751878738,0.064498983323574,0.188607856631279,0.6924183368682861,50000,0.0407567992806434,0.0317695252597332,0.0390411019325256,0.0098687401041388,0,0,28.14249745606766,0
500,0.004119524732232,41.943761071458965,13.077480640091892,0.256717175245285,0.159843161702156,0.0658278912305831,0.1879451870918274,0.6934176683425903,50000,0.0415853857994079,0.0330927446484565,0.0390389338135719,0.010222571901977,0,0,28.866280431367073,0
600,0.0029878634959459,42.31067884704434,13.076374649818298,0.2571777105331421,0.1603692173957824,0.0661409497261047,0.1875095069408416,0.6919360160827637,72060,0.02940259501338,0.0163417682051658,0.0392830558121204,0.0106377033516764,22070,10,29.234304197226045,22060
700,0.0028246664442121,42.70162839958445,13.056069436695925,0.2577531635761261,0.1613604128360748,0.0668025687336921,0.1869822889566421,0.6928043365478516,86531,0.0250095576047897,0.0102949533611536,0.0400055237114429,0.0115971304476261,14471,0,29.645558962888526,14471
800,0.0027110506780445,43.21277682350803,13.027401106887956,0.2584933638572693,0.1626682877540588,0.0684203505516052,0.1865908652544021,0.6964108943939209,90128,0.0244960542768239,0.0096438629552721,0.0402721054852008,0.0126272002235054,3598,1,30.185375716620072,3597
900,0.0025816848501563,43.354650310977206,13.039475705449398,0.2586274147033691,0.1621105670928955,0.069102331995964,0.1864537000656128,0.6923797130584717,91297,0.0246422328054904,0.0099793653935194,0.0403572581708431,0.013583262450993,1170,1,30.315174605527808,1169
1000,0.0024700751528143,43.78519721662631,13.03265908233652,0.2590216696262359,0.1624251753091812,0.0702149793505668,0.1866209059953689,0.6932123899459839,92162,0.024869879707694,0.0104855056852102,0.0404501147568225,0.0144765628501772,867,2,30.752538134289786,865
1100,0.0024568038061261,44.38094668566166,13.027581727939362,0.2591484487056732,0.162699282169342,0.0706513375043869,0.1861370503902435,0.6936964988708496,92629,0.0251591615378856,0.0109123727306723,0.0404447205364704,0.0149815399199724,468,1,31.3533649577223,467
1200,0.0022089716512709,44.81461959108714,13.028982770756556,0.2595921158790588,0.1627411991357803,0.0717484503984451,0.1862427294254303,0.691044807434082,92995,0.025479357689619,0.0113411033526062,0.0404376797378063,0.0153888873755931,367,1,31.78563682033058,366
1300,0.0018997613806277,44.581947555908606,13.022059290966444,0.2596434354782104,0.1629632860422134,0.0731437802314758,0.1861319243907928,0.6930166482925415,93327,0.0257907640188932,0.0117992088198661,0.0404102839529514,0.0157089065760374,337,5,31.55988826494216,332
