name,min,max,mean,std,p1,p50,p99,corr_to_gt,mae_to_gt,psnr_to_gt,linfit_a,linfit_b,resid_std
gt,0.0,1.0,0.2621866464614868,0.1714911013841629,0.032499998807907104,0.1899999976158142,0.7074999809265137,1.0,0.0,120.0,0.9999999999990984,4.317754261402416e-16,1.5461638372018563e-13
init_fdk_voxelized,0.009286795742809772,1.268076777458191,0.27260833978652954,0.14150607585906982,0.07654926799237728,0.22732244431972504,0.7284876507520675,0.11722801117440071,0.15663476918079944,13.580083572524401,0.09673085820886257,0.2472467725686475,0.1405304247939508
iter100,0.004931556526571512,1.240980863571167,0.2511650323867798,0.15084880590438843,0.06192694704979658,0.19260887801647186,0.6921500515937804,0.10016750703787104,0.1590369183331728,13.269465812362212,0.08811042285094253,0.2280636428653841,0.15009015228956615
iter1000,0.0003412725927773863,1.319476842880249,0.2590704560279846,0.16250650584697723,0.07015731185674667,0.18666478246450424,0.6928072589635849,0.10844717418264362,0.16269164446926293,13.029209512854791,0.1027655399729452,0.2321267887275843,0.1615480962262156
iter5000,0.0,1.2342826128005981,0.2608884871006012,0.16532903909683228,0.07310745969414711,0.1862301006913185,0.6985209947824478,0.11085060468627307,0.16391005209314555,12.97063087642482,0.10686751933672094,0.23286932782391062,0.16431015061799553
iter30000,0.0,1.3385781049728394,0.26154085993766785,0.16677120327949524,0.06475552946329118,0.18780001997947693,0.7049382519721985,0.11198235780474353,0.16466662967382462,12.939918579843297,0.10890030418057345,0.23298864571872374,0.1657222290404202
