iter,proj_loss_train,proj_loss_val,proj_psnr_val,global_psnr,voxel_mae,voxel_mean,voxel_std,voxel_min,voxel_max,voxel_p1,voxel_p50,voxel_p99,num_gaussians,density_mean,density_std,scale_mean,scale_std,densify_added,prune_removed,lr_xyz
100,0.2664606273174286,0.26273834705352783,6.030479304208466,5.2384007434771105,0.4807366132736206,0.7268431186676025,0.2333126664161682,0.006903355475515127,2.1617202758789062,0.23776212334632874,0.715349018573761,1.3157145977020264,50000,0.28045716881752014,0.16974936425685883,0.028909076005220413,0.006463842466473579,0,0,0.00019847081922641984
200,0.04441196471452713,0.04297572125991186,20.9252271479837,13.255354386222871,0.17561036348342896,0.3212756812572479,0.12665969133377075,0.0012398411054164171,1.4725536108016968,0.08203116059303284,0.30868586897850037,0.6707156300544739,50000,0.19963406026363373,0.12043628841638565,0.024604124948382378,0.005473250988870859,0,0,0.00019695333042203127
300,0.007943354547023773,0.009217296416560808,33.351878274584486,13.30431669982132,0.16110217571258545,0.2598137855529785,0.14897790551185608,0.0009597829193808138,1.6306040287017822,0.05501394718885422,0.2205880582332611,0.7253487706184387,50000,0.17880573868751526,0.10917076468467712,0.02353626862168312,0.005395195912569761,0,0,0.000195447444191162
400,0.004110530484467745,0.00497549803306659,38.35250465634421,12.934323564951736,0.16700467467308044,0.25652894377708435,0.16472391784191132,0.001070474972948432,1.4467283487319946,0.04936373978853226,0.20264099538326263,0.7334782481193542,50000,0.174527108669281,0.10704470425844193,0.02344626374542713,0.0055083464831113815,0,0,0.0001939530718216496
500,0.004526602569967508,0.0037466796735922494,40.8969028867605,12.872883322872308,0.16830779612064362,0.2565532922744751,0.16740302741527557,0.0006668975111097097,1.3597147464752197,0.04827747866511345,0.1993568241596222,0.7291513085365295,50000,0.1726716011762619,0.10533608496189117,0.02348625659942627,0.005554748233407736,0,0,0.00019247012527961736
600,0.003159761894494295,0.0033548947734137378,41.927756094252686,12.869477578117968,0.1684015989303589,0.2567446231842041,0.1677720695734024,0.00037932931445539,1.3631811141967773,0.04779890179634094,0.19839614629745483,0.7238132357597351,91428,0.09362340718507767,0.04785523936152458,0.023632336407899857,0.00555327907204628,41547,119,0.00019099851720428708
700,0.002808406949043274,0.0029206903806577125,43.25920197041191,12.878824068370577,0.16770917177200317,0.25745099782943726,0.16779209673404694,0.0002286048693349585,1.3349189758300781,0.05084511637687683,0.1958463490009308,0.7211652398109436,153011,0.053546518087387085,0.021215248852968216,0.024403085932135582,0.005885062739253044,61594,11,0.00018953816090283164
800,0.002588969888165593,0.0027509204422434172,43.842406452750495,12.8808666351527,0.1672544777393341,0.2584075629711151,0.16785481572151184,0.00039611797546967864,1.3331071138381958,0.054143425077199936,0.1947566121816635,0.719681978225708,201805,0.039328183978796005,0.015454709529876709,0.02560359425842762,0.006356187630444765,48802,8,0.00018808897034527035
900,0.002532174112275243,0.0028033455989013114,43.73669348906085,12.901269580468181,0.16678577661514282,0.2589406371116638,0.16697995364665985,0.00032894412288442254,1.3537248373031616,0.056268054991960526,0.19424058496952057,0.7139760255813599,216320,0.036076467484235764,0.015737386420369148,0.026282839477062225,0.006955337710678577,14520,5,0.00018665086015939812
1000,0.002192593179643154,0.002437248049924771,44.86603186419616,12.914803227467855,0.16632229089736938,0.2592594027519226,0.16686221957206726,0.0003033854882232845,1.3403263092041016,0.05862706899642944,0.19354769587516785,0.7138312458992004,217317,0.03563409298658371,0.015850689262151718,0.026445532217621803,0.007350349798798561,1000,3,0.0001852237456257585
1100,0.002105024643242359,0.0022182896500453353,45.59375101049817,12.917988442925362,0.1660768687725067,0.25938719511032104,0.16655780375003815,0.0002802386588882655,1.3114829063415527,0.05974079668521881,0.19303253293037415,0.7099945545196533,217825,0.03540148586034775,0.015916336327791214,0.02655242756009102,0.007700046990066767,514,6,0.0001838075426726519
1200,0.00190433906391263,0.002036761026829481,46.30946063320802,12.925906022230082,0.1658906787633896,0.2597050070762634,0.16647101938724518,0.0002352395240450278,1.3186699151992798,0.061011672019958496,0.19271758198738098,0.7075694799423218,218084,0.03526822105050087,0.016017485409975052,0.026631826534867287,0.007938262075185776,261,2,0.00018240216787118187
1300,0.0016812318935990334,0.002131253636131684,45.93586830950068,12.933131366796012,0.16574984788894653,0.25994181632995605,0.166408509016037,0.00019770546350628138,1.284334421157837,0.061844803392887115,0.19257134199142456,0.7065938115119934,218295,0.03518263250589371,0.016152532771229744,0.026692353188991547,0.008125360123813152,213,2,0.00018100753843034226
