setting,best_global_psnr,best_iter,final_global_psnr,delta_final_vs_iter100,best_val_proj_psnr,final_num_gaussians,densify_added_sum,prune_removed_sum
default,13.57096720494611,200,13.394449213271113,0.30488818859547173,34.0820068944528,81534,31856,322
no_densify_no_prune,13.570938120098662,200,13.358880108572905,0.2692419722025008,39.12447036123008,50000,0,0
no_densify,13.570738213063144,200,13.36205259395287,0.27246718367563183,39.12683391690172,49819,0,181
no_prune,13.570875164956732,200,13.39422969535147,0.3046258310144374,34.06656524473953,81766,31766,0
