iter,proj_loss_train,proj_loss_val,proj_psnr_val,global_psnr,voxel_mae,voxel_mean,voxel_std,voxel_min,voxel_max,voxel_p1,voxel_p50,voxel_p99,num_gaussians,density_mean,density_std,scale_mean,scale_std,densify_added,prune_removed,lr_xyz
100,0.005223273299634457,0.006218407768756151,36.580993973420014,13.269323102679175,0.15903982520103455,0.2511681914329529,0.1508558839559555,0.004936348646879196,1.2410763502120972,0.06193656101822853,0.19260945916175842,0.6921631693840027,50000,0.038561929017305374,0.027123596519231796,0.03909444436430931,0.008722537197172642,0,0,0.00019847081922641984
200,0.004242280498147011,0.004718507019182046,38.9546946402204,13.167664757882974,0.1606355607509613,0.25374770164489746,0.1554751694202423,0.005186850670725107,1.2638287544250488,0.06277342885732651,0.19047811627388,0.6928796172142029,50000,0.039172299206256866,0.02886609174311161,0.039043765515089035,0.009105859324336052,0,0,0.00019695333042203127
300,0.003239635145291686,0.004081305426855882,40.24921724652701,13.125246846285739,0.16123256087303162,0.25510475039482117,0.15753881633281708,0.0033710089046508074,1.273371934890747,0.0639045313000679,0.18939617276191711,0.6924883723258972,50000,0.039946962147951126,0.03040112927556038,0.03903864696621895,0.009497523307800293,0,0,0.000195447444191162
400,0.0028915575239807367,0.0036489282889912524,41.24291073881223,13.100413282744569,0.16159148514270782,0.25605902075767517,0.15899987518787384,0.0026013676542788744,1.2789497375488281,0.06449898332357407,0.188607856631279,0.6924183368682861,50000,0.04075679928064346,0.0317695252597332,0.039041101932525635,0.009868740104138851,0,0,0.0001939530718216496
500,0.004119524732232094,0.003372234757989645,41.943761071458965,13.077480640091892,0.1619464010000229,0.25671717524528503,0.15984316170215607,0.0016836675349622965,1.2706680297851562,0.06582789123058319,0.1879451870918274,0.6934176683425903,50000,0.04158538579940796,0.033092744648456573,0.03903893381357193,0.010222571901977062,0,0,0.00019247012527961736
600,0.0029878634959459305,0.0032559302635490894,42.31067884704434,13.076374649818298,0.16198162734508514,0.2571777105331421,0.16036921739578247,0.0011010259622707963,1.2678273916244507,0.06614094972610474,0.18750950694084167,0.6919360160827637,72060,0.02940259501338005,0.016341768205165863,0.03928305581212044,0.010637703351676464,22070,10,0.00019099851720428708
700,0.0028246664442121983,0.003135398651162783,42.70162839958445,13.056069436695925,0.16232162714004517,0.2577531635761261,0.16136041283607483,0.0007282890728674829,1.318508267402649,0.06680256873369217,0.18698228895664215,0.6928043365478516,86531,0.025009557604789734,0.010294953361153603,0.04000552371144295,0.011597130447626114,14471,0,0.00018953816090283164
800,0.0027110506780445576,0.0029580910534908376,43.21277682350803,13.027401106887957,0.16264024376869202,0.2584933638572693,0.16266828775405884,0.0005577558185905218,1.2721242904663086,0.06842035055160522,0.18659086525440216,0.6964108943939209,90128,0.024496054276823997,0.009643862955272198,0.04027210548520088,0.012627200223505497,3598,1,0.00018808897034527035
900,0.0025816848501563072,0.0029077467042952776,43.354650310977206,13.039475705449398,0.16245615482330322,0.25862741470336914,0.1621105670928955,0.0004193397471681237,1.289650797843933,0.06910233199596405,0.1864537000656128,0.6923797130584717,91297,0.024642232805490494,0.009979365393519402,0.040357258170843124,0.013583262450993061,1170,1,0.00018665086015939812
1000,0.0024700751528143883,0.002786576592673858,43.78519721662631,13.032659082336519,0.16262444853782654,0.25902166962623596,0.1624251753091812,0.00034017584403045475,1.3054697513580322,0.07021497935056686,0.18662090599536896,0.6932123899459839,92162,0.024869879707694054,0.010485505685210228,0.040450114756822586,0.014476562850177288,867,2,0.0001852237456257585
1100,0.0024568038061261177,0.0025936486199498177,44.38094668566166,13.027581727939362,0.16265708208084106,0.2591484487056732,0.16269928216934204,0.0002824430412147194,1.2684369087219238,0.0706513375043869,0.18613705039024353,0.6936964988708496,92629,0.025159161537885666,0.01091237273067236,0.04044472053647041,0.01498153991997242,468,1,0.0001838075426726519
1200,0.0022089716512709856,0.0024629622542609773,44.81461959108714,13.028982770756556,0.1626349538564682,0.25959211587905884,0.16274119913578033,0.0001542203244753182,1.2945324182510376,0.07174845039844513,0.1862427294254303,0.691044807434082,92995,0.025479357689619064,0.011341103352606297,0.04043767973780632,0.015388887375593185,367,1,0.00018240216787118187
1300,0.0018997613806277514,0.002519863502432903,44.581947555908606,13.022059290966443,0.16282972693443298,0.25964343547821045,0.16296328604221344,0.00012274470645934343,1.267552137374878,0.07314378023147583,0.18613192439079285,0.6930166482925415,93327,0.025790764018893242,0.01179920881986618,0.04041028395295143,0.015708906576037407,337,5,0.00018100753843034226
1400,0.00201877998188138,0.002440007791544,44.88541512960741,13.019742348980065,0.16281260550022125,0.2596738338470459,0.16294603049755096,7.60080583859235e-05,1.2303770780563354,0.0730191320180893,0.18589158356189728,0.6919362545013428,93665,0.026056546717882156,0.012180163525044918,0.040393128991127014,0.016039839014410973,341,3,0.00017962357219213895
1500,0.002072065370157361,0.0023577570294340453,45.238635866068584,13.021126591829193,0.16284584999084473,0.2596575617790222,0.1632823944091797,5.142343070474453e-05,1.2788139581680298,0.07316333800554276,0.18590790033340454,0.691200852394104,93984,0.02632259763777256,0.012598300352692604,0.04037505015730858,0.01632881909608841,324,5,0.00017825018762674904
