iter,proj_loss_train,proj_loss_val,proj_psnr_val,global_psnr,voxel_mae,voxel_mean,voxel_std,voxel_min,voxel_max,voxel_p1,voxel_p50,voxel_p99,num_gaussians,density_mean,density_std,scale_mean,scale_std,densify_added,prune_removed,lr_xyz
100,0.03295092657208443,0.03501346707344055,19.092500795181635,13.089561024675639,0.16633546352386475,0.20344755053520203,0.1490737795829773,4.893548975815065e-05,1.569492220878601,0.0018889768980443478,0.18104836344718933,0.6979728937149048,50000,0.0498504564166069,0.034554872661828995,0.03265629708766937,0.012384575791656971,0,0,0.00019847081922641984
200,0.015502376481890678,0.016264450115462143,25.34698690645712,13.57096720494611,0.15621909499168396,0.23346877098083496,0.13616567850112915,0.0019814118277281523,1.3068256378173828,0.03620178997516632,0.20214253664016724,0.6731588840484619,50000,0.04715372994542122,0.03161928430199623,0.03213612362742424,0.014349437318742275,0,0,0.00019695333042203127
300,0.0101519376039505,0.010523170853654543,29.001709258449328,13.540556456589442,0.1567768007516861,0.24196571111679077,0.13908717036247253,0.002701855730265379,1.379549503326416,0.04330092668533325,0.2077682614326477,0.6850471496582031,50000,0.04762854427099228,0.03125905990600586,0.03227025270462036,0.014950704760849476,0,0,0.000195447444191162
400,0.007532996125519276,0.007531022808204095,31.81736403872187,13.507779114330908,0.15764670073986053,0.24641968309879303,0.1424320936203003,0.0018433330114930868,1.4316729307174683,0.045138049870729446,0.21031421422958374,0.6940597295761108,50000,0.04852591082453728,0.03169843181967735,0.032484639436006546,0.014998831786215305,0,0,0.0001939530718216496
500,0.006009247619658709,0.005978177146365245,34.082006894452796,13.456713496551426,0.15884506702423096,0.24962565302848816,0.14475089311599731,0.002298293635249138,1.4541631937026978,0.04681110382080078,0.21181343495845795,0.6979082822799683,50000,0.04937101528048515,0.03259355574846268,0.032586462795734406,0.015064356848597527,0,0,0.00019247012527961736
600,0.00524498475715518,0.015800712009270985,24.68613827311141,13.422852286697148,0.15919211506843567,0.2290039360523224,0.14762237668037415,4.380739846965298e-05,1.4836483001708984,0.014967672526836395,0.19323253631591797,0.6892197728157043,68746,0.036317985504865646,0.01912860758602619,0.03379775956273079,0.016146613284945488,18958,212,0.00019099851720428708
700,0.003944409545511007,0.013016281028588613,26.30682395279277,13.375619909843795,0.15944111347198486,0.23486104607582092,0.14882312715053558,0.0004706343461293727,1.473890781402588,0.025584375485777855,0.19633516669273376,0.6974594593048096,75588,0.03345438838005066,0.018177026882767677,0.03569334000349045,0.01861794851720333,6875,33,0.00018953816090283164
800,0.003592767985537648,0.010352037847042084,28.13727863336746,13.403389585452263,0.15888547897338867,0.23993100225925446,0.14801600575447083,0.0025181137025356293,1.5160858631134033,0.03207423910498619,0.2002817988395691,0.6988986730575562,78291,0.03286931291222572,0.018839124590158463,0.03702543303370476,0.02094254270195961,2720,17,0.00018808897034527035
900,0.0036441325210034847,0.008395190350711346,29.734189288867917,13.440606198969157,0.1583956778049469,0.24348965287208557,0.1474667340517044,0.00279037794098258,1.471116304397583,0.038210202008485794,0.20316141843795776,0.7015232443809509,80242,0.03263334929943085,0.019549021497368813,0.0380515493452549,0.022846288979053497,1979,28,0.00018665086015939812
1000,0.0025980372447520494,0.006202550604939461,32.28088216759036,13.394449213271113,0.15927714109420776,0.24797162413597107,0.14871208369731903,0.0040947445668280125,1.4787871837615967,0.04362435266375542,0.20603737235069275,0.7063710689544678,81534,0.032690033316612244,0.020282277837395668,0.038792554289102554,0.02452637441456318,1324,32,0.0001852237456257585
