organ_id,name,voxel_count,fraction,mean,std,p1,p50,p99,init_opacity,opacity_minus_mean
0,background,1541653,0.7351174354553223,0.2052202671766281,0.12179800868034363,0.057500001043081284,0.16750000417232513,0.6349999904632568,0.01,-0.1952202671766281
1,soft_tissue,5999,0.002860546112060547,0.9774633646011353,0.07186172157526016,0.6174500072002411,1.0,1.0,0.15,-0.8274633646011352
6,pancreas,1150,0.0005483627319335938,0.46230438351631165,0.07855360209941864,0.26244998812675474,0.4675000011920929,0.6275499975681305,0.1,-0.36230438351631167
7,heart_vessels,72350,0.034499168395996094,0.5985472202301025,0.12018526345491409,0.3199999928474426,0.5924999713897705,1.0,0.13,-0.46854722023010253
8,lung,412254,0.1965780258178711,0.3578757047653198,0.1642516702413559,0.0,0.4000000059604645,0.6075000166893005,0.04,-0.31787570476531984
9,gi_tract,63746,0.030396461486816406,0.5683635473251343,0.09254753589630127,0.33000001311302185,0.5649999976158142,1.0,0.12,-0.4483635473251343
