iter,proj_loss_train,proj_loss_val,proj_psnr_val,global_psnr,voxel_mae,voxel_mean,voxel_std,voxel_min,voxel_max,voxel_p1,voxel_p50,voxel_p99,num_gaussians,density_mean,density_std,scale_mean,scale_std,densify_added,prune_removed,lr_xyz
100,0.03295024484395981,0.03501323486367861,19.09248722972951,13.089585410277238,0.16633503139019012,0.2034471333026886,0.14907260239124298,4.89432095491793e-05,1.5689430236816406,0.001888814615085721,0.18104711174964905,0.6979625225067139,50000,0.04985053464770317,0.03455489128828049,0.032656289637088776,0.012384537607431412,0,0,0.00019847081922641984
200,0.01550249569118023,0.016265453460315864,25.346773902532107,13.570738213063144,0.15622343122959137,0.2334759533405304,0.13617673516273499,0.001983528956770897,1.3069133758544922,0.036201462149620056,0.20213750004768372,0.6732460856437683,50000,0.04715418443083763,0.03161953389644623,0.03213626891374588,0.014349541626870632,0,0,0.00019695333042203127
300,0.010151062160730362,0.010523587465286255,29.002233049568535,13.540651512292667,0.15677563846111298,0.24196220934391022,0.1390748918056488,0.002707711886614561,1.3785388469696045,0.04330168291926384,0.20777395367622375,0.6849546432495117,50000,0.0476277731359005,0.031257882714271545,0.032270122319459915,0.014950909651815891,0,0,0.000195447444191162
400,0.007530033588409424,0.007534938398748636,31.81406774619008,13.507946026700006,0.1576404571533203,0.24640566110610962,0.14243562519550323,0.0018469477072358131,1.4327096939086914,0.045118775218725204,0.21029745042324066,0.6940945386886597,50000,0.04852503910660744,0.0316968709230423,0.03248445317149162,0.01499922014772892,0,0,0.0001939530718216496
500,0.006003576330840588,0.006000732226918141,34.05484796422834,13.457507519582308,0.1588304191827774,0.24957427382469177,0.1447521299123764,0.0022850618697702885,1.4519392251968384,0.04667394980788231,0.21179932355880737,0.6979602575302124,50000,0.04936973378062248,0.03258891776204109,0.03258587047457695,0.015064199455082417,0,0,0.00019247012527961736
600,0.005243536084890366,0.005214626590410869,35.3817439342784,13.426398407226127,0.15940946340560913,0.2509649991989136,0.1464424431324005,0.0033867605961859226,1.48516845703125,0.04594651982188225,0.21201324462890625,0.7028716802597046,49849,0.050102412700653076,0.033405471593141556,0.03263300657272339,0.015242929570376873,0,151,0.00019099851720428708
700,0.004333305172622204,0.004617711063474417,36.56367999741754,13.40059668420787,0.15979450941085815,0.25234827399253845,0.14784248173236847,0.003928062971681356,1.4855237007141113,0.04729539901018143,0.21189574897289276,0.7067092061042786,49832,0.050869833678007126,0.03443863242864609,0.032688021659851074,0.015466155484318733,0,17,0.00018953816090283164
800,0.004349364899098873,0.004089487716555595,37.62240787389151,13.394669095804876,0.1598692089319229,0.25303953886032104,0.1482406109571457,0.0039581311866641045,1.509691596031189,0.04749836027622223,0.2122003734111786,0.706242561340332,49826,0.05162811279296875,0.03546007722616196,0.03273515775799751,0.01567544788122177,0,6,0.00018808897034527035
900,0.004604813642799854,0.003792175091803074,38.511640051771685,13.374940307736383,0.160247802734375,0.2537217140197754,0.1487955003976822,0.00474519794806838,1.5158450603485107,0.047566358000040054,0.21244050562381744,0.7073895931243896,49821,0.0522984080016613,0.03644781559705734,0.03277142345905304,0.0158670786768198,0,5,0.00018665086015939812
1000,0.0035185106098651886,0.0035186201178779206,39.12683391690172,13.36205259395287,0.16035720705986023,0.2543042004108429,0.1498773843050003,0.00466177798807621,1.5070489645004272,0.047468364238739014,0.21230974793434143,0.712843656539917,49819,0.05292610824108124,0.037449829280376434,0.03280264884233475,0.01606886088848114,0,2,0.0001852237456257585
