iter,proj_loss_train,proj_loss_val,proj_psnr_val,global_psnr,voxel_mae,voxel_mean,voxel_std,voxel_min,voxel_max,voxel_p1,voxel_p50,voxel_p99,num_gaussians,density_mean,density_std,scale_mean,scale_std,densify_added,prune_removed,lr_xyz
100,0.005223366431891918,0.006218656276663144,36.58017139107849,13.269465984579497,0.15903691947460175,0.2511650025844574,0.1508488804101944,0.004931556526571512,1.240980863571167,0.0619269460439682,0.19260887801647186,0.6921501159667969,50000,0.03856177255511284,0.02712317369878292,0.03909441828727722,0.008722487837076187,0,0,0.00019847081922641984
200,0.004242191556841135,0.004718924406915903,38.95262450778062,13.167571485936342,0.16063757240772247,0.2537404000759125,0.1554737389087677,0.005191892385482788,1.2628536224365234,0.06276985257863998,0.19046935439109802,0.6929354071617126,50000,0.039171893149614334,0.028865478932857513,0.039043523371219635,0.009105661883950233,0,0,0.00019695333042203127
300,0.0032409746199846268,0.004082379086563985,40.24749590372592,13.125080390643632,0.16123858094215393,0.25510573387145996,0.15754061937332153,0.0033721448853611946,1.2749818563461304,0.06391797214746475,0.18939846754074097,0.6924124956130981,50000,0.0399470292031765,0.030400769785046577,0.03903862088918686,0.009497426450252533,0,0,0.000195447444191162
400,0.0028906967490911484,0.003648225295667847,41.24312719088412,13.100270239779059,0.16159403324127197,0.2560606598854065,0.15898992121219635,0.002614611992612481,1.2788220643997192,0.06452203541994095,0.1886099874973297,0.6923894882202148,50000,0.04075722396373749,0.03176937997341156,0.039041295647621155,0.009868753142654896,0,0,0.0001939530718216496
500,0.0041215140372514725,0.0033721141517162323,41.9487655598222,13.077607488827836,0.16194280982017517,0.2566947042942047,0.1598401665687561,0.001687362208031118,1.2707173824310303,0.06581329554319382,0.18792450428009033,0.6935560703277588,50000,0.04158402234315872,0.03309224173426628,0.03903820738196373,0.01022226270288229,0,0,0.00019247012527961736
600,0.002985637867823243,0.003259110807751616,42.303914279318306,13.075885816963975,0.16199460625648499,0.25718098878860474,0.1603579819202423,0.001102179056033492,1.2660634517669678,0.06613872945308685,0.18752947449684143,0.6920468807220459,72056,0.029403990134596825,0.01633930206298828,0.039283059537410736,0.010638385079801083,22066,10,0.00019099851720428708
700,0.0028288536705076694,0.003134190415342649,42.70712539839339,13.057701486929494,0.16227805614471436,0.25775355100631714,0.16138188540935516,0.0007264680461958051,1.3168277740478516,0.06674923747777939,0.18694555759429932,0.6930028200149536,86479,0.025026103481650352,0.01030267495661974,0.040003057569265366,0.011603502556681633,14423,0,0.00018953816090283164
800,0.0027041127905249596,0.0029665655456483364,43.19829244574261,13.03075681701702,0.1625765860080719,0.2584671378135681,0.1625601351261139,0.0005649240338243544,1.2792561054229736,0.06842461973428726,0.18657813966274261,0.6964185833930969,90133,0.024496419355273247,0.0096461595967412,0.04027261584997177,0.012626426294445992,3656,2,0.00018808897034527035
900,0.0025909736286848783,0.002914989755178491,43.33555366911419,13.037758660953225,0.1624842882156372,0.2586171329021454,0.1620764434337616,0.00042284149094484746,1.292352557182312,0.06917837262153625,0.18648558855056763,0.6915826797485352,91281,0.024647435173392296,0.009978655725717545,0.04035484790802002,0.013573044911026955,1150,2,0.00018665086015939812
1000,0.002416839124634862,0.0027820266938457885,43.8028980878815,13.029209605447502,0.1626916378736496,0.2590705454349518,0.162506565451622,0.0003412725927773863,1.319476842880249,0.07015731185674667,0.18666478991508484,0.6928073167800903,92117,0.024886930361390114,0.010485602542757988,0.040447600185871124,0.014465225860476494,837,1,0.0001852237456257585
