iter,proj_loss_train,proj_loss_val,proj_psnr_val,global_psnr,voxel_mae,voxel_mean,voxel_std,voxel_min,voxel_max,voxel_p1,voxel_p50,voxel_p99,num_gaussians,density_mean,density_std,scale_mean,scale_std,densify_added,prune_removed,lr_xyz
100,0.010841092094779015,0.012808424110213915,29.012744245967674,14.209998334806146,0.14229024946689606,0.24854250252246857,0.1668461412191391,0.0006745057180523872,2.930473804473877,0.0324505940079689,0.20790237188339233,0.8467000126838684,213782,0.08683010190725327,0.03568124771118164,0.015904365107417107,0.013897490687668324,0,0,0.00019847081922641984
200,0.0044715674594044685,0.0059307413175702095,35.470087384900026,13.819250210739892,0.15101051330566406,0.251323938369751,0.15723779797554016,0.0007709289202466607,2.11450457572937,0.034994564950466156,0.2130286693572998,0.7709686756134033,213782,0.08004680275917053,0.03343190997838974,0.015488543547689915,0.014088627882301807,0,0,0.00019695333042203127
300,0.0032612953800708055,0.003957721715172132,39.64700802196054,13.609278943038372,0.1546623706817627,0.25295841693878174,0.15774454176425934,0.0006524781347252429,1.8629698753356934,0.03692496567964554,0.21263283491134644,0.7643662095069885,213782,0.07804931700229645,0.033268578350543976,0.015341093763709068,0.01416159886866808,0,0,0.000195447444191162
400,0.0029420191422104836,0.0031205712196727595,41.93688811997346,13.499469912158364,0.15655498206615448,0.2544110119342804,0.1590697169303894,0.0007429835386574268,1.900850534439087,0.03826180100440979,0.21213223040103912,0.7654678821563721,213782,0.07747282087802887,0.0334586501121521,0.01527834590524435,0.014199409633874893,0,0,0.0001939530718216496
500,0.0021238073240965605,0.0026067558210343122,43.42106685347689,13.426446126239721,0.15786901116371155,0.25496476888656616,0.15963496267795563,0.0008307695388793945,1.9317551851272583,0.038492463529109955,0.21171104907989502,0.7661842107772827,213782,0.07750105857849121,0.03417889028787613,0.015239166095852852,0.014223761856555939,0,0,0.00019247012527961736
600,0.002150536049157381,0.0029116748676945767,41.59626518091098,13.36351247010602,0.1588771790266037,0.25437575578689575,0.16034600138664246,0.0008017942309379578,1.9080535173416138,0.036968253552913666,0.21030355989933014,0.7664815187454224,230002,0.07138856500387192,0.03570207580924034,0.017498912289738655,0.01770252361893654,18340,2120,0.00019099851720428708
700,0.0018019230337813497,0.0023092632181942463,44.372126435014145,13.318630241207494,0.15960204601287842,0.2561207711696625,0.16124248504638672,0.0005622117314487696,1.8969472646713257,0.038694750517606735,0.21035528182983398,0.7694730758666992,235225,0.06976816803216934,0.03651469200849533,0.018769215792417526,0.020318007096648216,5594,371,0.00018953816090283164
800,0.001885802368633449,0.002001696809505423,45.97481634556041,13.301005147042158,0.15996181964874268,0.2569878101348877,0.16112521290779114,0.0005362445372156799,1.8558878898620605,0.039259664714336395,0.21087276935577393,0.768379271030426,237161,0.0691828653216362,0.03707955777645111,0.019193420186638832,0.0212501622736454,2161,225,0.00018808897034527035
900,0.0021226853132247925,0.0018014498443032305,46.92488864133552,13.277272897382005,0.16039925813674927,0.2573937177658081,0.16113166511058807,0.00036836363142356277,1.8803273439407349,0.0394769087433815,0.21084558963775635,0.7671027183532715,238641,0.06859923899173737,0.0375632680952549,0.019539540633559227,0.022065261378884315,1662,182,0.00018665086015939812
1000,0.001706996699795127,0.0016702089924365282,47.700815934256,13.286698790558907,0.16017384827136993,0.2575397491455078,0.16076813638210297,0.0003824446757789701,1.8608195781707764,0.03975294530391693,0.21074655652046204,0.7649052143096924,239347,0.06838533282279968,0.03807184472680092,0.019683314487338066,0.022476589307188988,846,140,0.0001852237456257585
